CustomerID,Coeff_H1,Coeff_H2,Coeff_Diff
13310,1,-1,-2
14583,1,-1,-2
15197,1,-1,-2
16554,1,-1,-2
16892,1,-1,-2
16987,1,-1,-2
17426,1,-1,-2
14898,0.999382666,-1,-1.999382666
16949,0.975503723,-1,-1.975503723
13956,1,-0.965826271,-1.965826271
13549,1,-0.947767498,-1.947767498
14422,1,-0.887633132,-1.887633132
14739,1,-0.857024655,-1.857024655
12656,1,-0.825618307,-1.825618307
13110,1,-0.825544727,-1.825544727
14676,0.773773169,-0.989502153,-1.763275322
13026,1,-0.759918066,-1.759918066
17706,1,-0.759330505,-1.759330505
16656,0.831066689,-0.922412748,-1.753479437
15750,1,-0.73680729,-1.73680729
16293,1,-0.703820198,-1.703820198
14408,0.950731486,-0.750783252,-1.701514738
13883,0.699416922,-1,-1.699416922
14524,0.699090248,-1,-1.699090248
12417,0.900381444,-0.787536371,-1.687917815
15854,0.916448675,-0.762323399,-1.678772073
16813,1,-0.670299668,-1.670299668
15356,0.769933885,-0.897621937,-1.667555823
12712,0.921979186,-0.738044274,-1.66002346
16422,0.919852853,-0.718005897,-1.637858751
17218,1,-0.615678178,-1.615678178
14572,1,-0.538355146,-1.538355146
13784,0.821523366,-0.708745503,-1.53026887
17961,0.841814243,-0.684171522,-1.525985765
15189,0.956088185,-0.569528812,-1.525616997
16638,0.797827336,-0.704315221,-1.502142556
13178,0.498877624,-0.991654881,-1.490532505
13198,1,-0.46284761,-1.46284761
15694,0.546526822,-0.886357739,-1.43288456
17673,0.426237673,-1,-1.426237673
13700,0.559367116,-0.850622771,-1.409989887
15298,0.474503481,-0.894169077,-1.368672557
17716,0.99406204,-0.34552276,-1.3395848
12524,0.338810904,-1,-1.338810904
18092,0.731305485,-0.59399866,-1.325304145
17929,1,-0.31458259,-1.31458259
12662,0.924760652,-0.388420942,-1.313181594
17220,0.829964658,-0.474334118,-1.304298776
12481,0.286453208,-1,-1.286453208
17735,0.555946045,-0.72614532,-1.282091365
17949,0.746961712,-0.53407877,-1.281040482
