CustomerID,Num_Orders,First_Purchase,Last_Purchase,Days_From_Last,Churn_Critical_Window,Churn_Risk_Group
12346,2,01:00.0,17:00.0,325,63,At Risk - Repeat Customer
12347,7,57:00.0,52:00.0,367,63,At Risk - Repeat Customer
12348,4,09:00.0,13:00.0,358,63,At Risk - Repeat Customer
12349,1,51:00.0,51:00.0,18,63,Grace Period
12350,1,01:00.0,01:00.0,310,63,At Risk - First_Customer
12352,11,33:00.0,37:00.0,296,63,At Risk - Repeat Customer
12353,1,47:00.0,47:00.0,204,63,At Risk - First_Customer
12354,1,11:00.0,11:00.0,232,63,At Risk - First_Customer
12355,1,49:00.0,49:00.0,214,63,At Risk - First_Customer
12356,3,50:00.0,40:00.0,325,63,At Risk - Repeat Customer
12357,1,07:00.0,07:00.0,33,63,Grace Period
12358,2,04:00.0,26:00.0,150,63,At Risk - Repeat Customer
12359,6,43:00.0,21:00.0,331,63,At Risk - Repeat Customer
12360,3,43:00.0,22:00.0,200,63,At Risk - Repeat Customer
12361,1,51:00.0,51:00.0,287,63,At Risk - First_Customer
12362,13,30:00.0,40:00.0,295,63,At Risk - Repeat Customer
12363,2,29:00.0,18:00.0,242,63,At Risk - Repeat Customer
12364,4,24:00.0,22:00.0,112,63,At Risk - Repeat Customer
12365,3,51:00.0,04:00.0,291,63,At Risk - Repeat Customer
12367,1,48:00.0,48:00.0,4,63,Grace Period
12370,4,58:00.0,51:00.0,360,63,At Risk - Repeat Customer
12371,2,43:00.0,16:00.0,59,63,Approaching At-Risk - Repeat Customer
12372,3,46:00.0,12:00.0,296,63,At Risk - Repeat Customer
12373,1,10:00.0,10:00.0,311,63,At Risk - First_Customer
12374,1,37:00.0,37:00.0,25,63,Grace Period
12375,3,23:00.0,27:00.0,98,63,At Risk - Repeat Customer
12377,2,37:00.0,45:00.0,354,63,At Risk - Repeat Customer
12378,1,34:00.0,34:00.0,129,63,At Risk - First_Customer
12379,3,32:00.0,09:00.0,170,63,At Risk - Repeat Customer
12380,5,49:00.0,27:00.0,185,63,At Risk - Repeat Customer
12381,6,57:00.0,44:00.0,119,63,At Risk - Repeat Customer
12383,6,28:00.0,02:00.0,352,63,At Risk - Repeat Customer
12384,3,23:00.0,39:00.0,121,63,At Risk - Repeat Customer
12386,2,53:00.0,37:00.0,366,63,At Risk - Repeat Customer
12388,6,12:00.0,30:00.0,326,63,At Risk - Repeat Customer
12390,1,33:00.0,33:00.0,79,63,At Risk - First_Customer
12391,1,07:00.0,07:00.0,21,63,Grace Period
12393,4,47:00.0,41:00.0,332,63,At Risk - Repeat Customer
12394,2,01:00.0,08:00.0,217,63,At Risk - Repeat Customer
12395,15,35:00.0,20:00.0,371,63,At Risk - Repeat Customer
12397,2,21:00.0,52:00.0,135,63,At Risk - Repeat Customer
12398,1,27:00.0,27:00.0,45,63,Grace Period
12399,4,42:00.0,15:00.0,261,63,At Risk - Repeat Customer
12401,1,50:00.0,50:00.0,303,63,At Risk - First_Customer
12402,1,49:00.0,49:00.0,323,63,At Risk - First_Customer
12403,2,51:00.0,00:00.0,49,63,Approaching At-Risk - Repeat Customer
12405,1,52:00.0,52:00.0,148,63,At Risk - First_Customer
12406,3,23:00.0,22:00.0,183,63,At Risk - Repeat Customer
12407,5,21:00.0,11:00.0,264,63,At Risk - Repeat Customer
12408,9,46:00.0,30:00.0,260,63,At Risk - Repeat Customer
12409,7,19:00.0,38:00.0,182,63,At Risk - Repeat Customer
12410,3,38:00.0,47:00.0,308,63,At Risk - Repeat Customer
12412,3,51:00.0,16:00.0,169,63,At Risk - Repeat Customer
12413,5,12:00.0,00:00.0,337,63,At Risk - Repeat Customer
12414,3,51:00.0,51:00.0,310,63,At Risk - Repeat Customer
12415,25,12:00.0,22:00.0,337,63,At Risk - Repeat Customer
12417,12,51:00.0,52:00.0,357,63,At Risk - Repeat Customer
12418,1,08:00.0,08:00.0,112,63,At Risk - First_Customer
