Cohort_Month,Month_Year,Num_Cust
12/1/2010,12/1/2010,885
12/1/2010,1/1/2011,324
12/1/2010,2/1/2011,286
12/1/2010,3/1/2011,340
12/1/2010,4/1/2011,321
12/1/2010,5/1/2011,352
12/1/2010,6/1/2011,321
12/1/2010,7/1/2011,309
12/1/2010,8/1/2011,313
12/1/2010,9/1/2011,350
12/1/2010,10/1/2011,331
12/1/2010,11/1/2011,445
12/1/2010,12/1/2011,235
1/1/2011,1/1/2011,417
1/1/2011,2/1/2011,92
1/1/2011,3/1/2011,111
1/1/2011,4/1/2011,96
1/1/2011,5/1/2011,134
1/1/2011,6/1/2011,120
1/1/2011,7/1/2011,103
1/1/2011,8/1/2011,101
1/1/2011,9/1/2011,125
1/1/2011,10/1/2011,136
1/1/2011,11/1/2011,152
1/1/2011,12/1/2011,49
2/1/2011,2/1/2011,380
2/1/2011,3/1/2011,71
2/1/2011,4/1/2011,71
2/1/2011,5/1/2011,108
2/1/2011,6/1/2011,103
2/1/2011,7/1/2011,94
2/1/2011,8/1/2011,96
2/1/2011,9/1/2011,106
2/1/2011,10/1/2011,94
2/1/2011,11/1/2011,116
2/1/2011,12/1/2011,26
3/1/2011,3/1/2011,452
3/1/2011,4/1/2011,68
3/1/2011,5/1/2011,114
3/1/2011,6/1/2011,90
3/1/2011,7/1/2011,101
3/1/2011,8/1/2011,76
3/1/2011,9/1/2011,121
3/1/2011,10/1/2011,104
3/1/2011,11/1/2011,126
3/1/2011,12/1/2011,39
4/1/2011,4/1/2011,300
4/1/2011,5/1/2011,64
4/1/2011,6/1/2011,61
4/1/2011,7/1/2011,63
4/1/2011,8/1/2011,59
4/1/2011,9/1/2011,68
4/1/2011,10/1/2011,65
4/1/2011,11/1/2011,78
4/1/2011,12/1/2011,22
5/1/2011,5/1/2011,284
5/1/2011,6/1/2011,54
5/1/2011,7/1/2011,49
5/1/2011,8/1/2011,49
5/1/2011,9/1/2011,59
5/1/2011,10/1/2011,66
5/1/2011,11/1/2011,75
5/1/2011,12/1/2011,27
6/1/2011,6/1/2011,242
6/1/2011,7/1/2011,42
6/1/2011,8/1/2011,38
6/1/2011,9/1/2011,64
6/1/2011,10/1/2011,56
6/1/2011,11/1/2011,81
6/1/2011,12/1/2011,23
7/1/2011,7/1/2011,188
7/1/2011,8/1/2011,34
7/1/2011,9/1/2011,39
7/1/2011,10/1/2011,42
7/1/2011,11/1/2011,51
7/1/2011,12/1/2011,21
8/1/2011,8/1/2011,169
8/1/2011,9/1/2011,35
8/1/2011,10/1/2011,42
8/1/2011,11/1/2011,41
8/1/2011,12/1/2011,21
9/1/2011,9/1/2011,299
9/1/2011,10/1/2011,70
9/1/2011,11/1/2011,90
9/1/2011,12/1/2011,34
10/1/2011,10/1/2011,358
10/1/2011,11/1/2011,86
10/1/2011,12/1/2011,41
11/1/2011,11/1/2011,324
11/1/2011,12/1/2011,36
12/1/2011,12/1/2011,41
