CustomerID,Half,Coefficient,Risk_Group
12347,1,-0.256768355,Low_Risk
12347,2,-0.33085873,Low_Risk
12359,1,-0.087281324,Low_Risk
12359,2,-1,Low_Risk
12362,1,1,Low_Risk
12362,2,0.214909324,Low_Risk
12381,2,-0.786505712,Low_Risk
12395,1,0.458130169,Low_Risk
12395,2,0.915584614,Low_Risk
12415,1,0.416567285,Low_Risk
12415,2,0.020326058,Low_Risk
12417,1,0.900381444,Low_Risk
12417,2,-0.787536371,Low_Risk
12423,1,-0.347589042,Low_Risk
12423,2,0.310512269,Low_Risk
12428,1,-1,Low_Risk
12428,2,-0.993819365,Low_Risk
12433,2,0.372935899,Low_Risk
12437,1,0.276128744,Low_Risk
12437,2,0.016525017,Low_Risk
12451,1,-1,Low_Risk
12451,2,-0.242295974,Low_Risk
12464,1,-1,Low_Risk
12464,2,0.990915223,Low_Risk
12471,1,-0.011810574,Low_Risk
12471,2,0.693942285,Low_Risk
12472,1,0.603713058,Low_Risk
12472,2,-0.032072608,Low_Risk
12473,1,0,Low_Risk
12473,2,-0.094819037,Low_Risk
12474,1,-0.0561436,Low_Risk
12474,2,0.522089444,Low_Risk
12476,1,0.230319979,Low_Risk
12476,2,0.163106964,Low_Risk
12477,1,-1,Low_Risk
12477,2,-0.309276781,Low_Risk
12481,1,0.286453208,Low_Risk
12481,2,-1,Low_Risk
12483,1,-0.764911374,Low_Risk
12483,2,0.519606989,Low_Risk
12490,1,-0.888212432,Low_Risk
12490,2,0.391964943,Low_Risk
12494,1,0.919421094,Low_Risk
12494,2,0.151481282,Low_Risk
12500,1,-0.629591243,Low_Risk
12500,2,0.317238245,Low_Risk
12518,2,0.006816469,Low_Risk
12523,1,0.546522892,Low_Risk
12523,2,-0.373683144,Low_Risk
12524,1,0.338810904,Low_Risk
12524,2,-1,Low_Risk
12528,1,-1,Low_Risk
12528,2,0.69316598,Low_Risk
12536,2,-1,Low_Risk
12540,1,0.214068432,Low_Risk
12540,2,0.095591846,Low_Risk
12553,1,-0.145429123,Low_Risk
12553,2,0.250796885,Low_Risk
12562,1,1,Low_Risk
12562,2,0.33013394,Low_Risk
12567,1,0.35355946,Low_Risk
12567,2,0.959482678,Low_Risk
12569,1,-0.956190168,Low_Risk
12569,2,0.881295263,Low_Risk
12583,1,-0.144662612,Low_Risk
12583,2,0.568581496,Low_Risk
12584,1,-1,Low_Risk
12584,2,0.291031434,Low_Risk
12598,1,0.009976592,Low_Risk
12598,2,0.898164282,Low_Risk
12600,1,-0.493586534,Low_Risk
12600,2,0.440125123,Low_Risk
12619,1,1,Low_Risk
12619,2,0.590411217,Low_Risk
12621,1,-0.107887469,Low_Risk
12621,2,-0.02503465,Low_Risk
12626,1,0.013884593,Low_Risk
12626,2,-0.507385643,Low_Risk
12627,2,-0.218495152,Low_Risk
12647,1,-0.984142701,Low_Risk
