CustomerID,Days_From_Last,Num_orders,Ln_Num_Orders,Total_Revenue,R,F,M,RFM,Segment
12346,326,1,0.693147181,77183.6,1,1,4,114,Lost
12347,3,7,2.079441542,3042.58,4,4,4,444,Champions
12348,76,4,1.609437912,1399.8,2,3,4,234,At-Risk High Value
12349,19,1,0.693147181,1149.44,3,1,4,314,Promising
12350,311,1,0.693147181,174.2,1,1,1,111,Lost
12352,37,7,2.079441542,2146.54,3,4,4,344,Loyalist
12353,205,1,0.693147181,89,1,1,1,111,Lost
12354,233,1,0.693147181,548.72,1,1,3,113,Lost
12355,215,1,0.693147181,347.5,1,1,2,112,Lost
12356,23,3,1.386294361,2148.27,3,3,4,334,Potential Loyalist
12357,34,1,0.693147181,3357.56,3,1,4,314,Promising
12358,2,2,1.098612289,635.38,4,2,3,423,Promising
12359,58,4,1.609437912,3683.65,2,3,4,234,At-Risk High Value
12360,53,3,1.386294361,1535.39,2,3,4,234,At-Risk High Value
12361,288,1,0.693147181,92.4,1,1,1,111,Lost
12362,4,10,2.397895273,3075.57,4,4,4,444,Champions
12363,110,2,1.098612289,242.64,2,2,2,222,Lost
12364,8,4,1.609437912,623.03,4,3,3,433,Promising
12365,292,1,0.693147181,447.73,1,1,2,112,Lost
12367,5,1,0.693147181,98.1,4,1,1,411,New Customers
12370,52,4,1.609437912,2454.84,2,3,4,234,At-Risk High Value
12371,45,2,1.098612289,1225.38,3,2,4,324,Potential Loyalist
12372,72,3,1.386294361,714.7,2,3,3,233,At-Risk High Value
12373,312,1,0.693147181,255.4,1,1,2,112,Lost
12374,26,1,0.693147181,579.32,3,1,3,313,Need Attention
12375,11,2,1.098612289,315.7,4,2,2,422,Promising
12377,316,2,1.098612289,939.14,1,2,3,123,At-Risk High Value
12378,130,1,0.693147181,1500.86,2,1,4,214,At-Risk High Value
12379,82,2,1.098612289,531.64,2,2,3,223,At-Risk High Value
12380,22,4,1.609437912,1910.86,3,3,4,334,Potential Loyalist
12381,5,5,1.791759469,1285.25,4,4,4,444,Champions
12383,185,5,1.791759469,1140.58,1,4,3,143,At-Risk High Value
12384,29,2,1.098612289,451.92,3,2,2,322,Need Attention
12386,338,2,1.098612289,352.1,1,2,2,122,Lost
12388,16,6,1.945910149,2150.98,4,4,4,444,Champions
12390,80,1,0.693147181,276.23,2,1,2,212,Lost
12391,22,1,0.693147181,222.23,3,1,2,312,Need Attention
12393,73,4,1.609437912,998.55,2,3,3,233,At-Risk High Value
12394,64,2,1.098612289,1109.36,2,2,3,223,At-Risk High Value
12395,20,11,2.48490665,2097.79,3,4,4,344,Loyalist
12397,36,2,1.098612289,1306.32,3,2,4,324,Potential Loyalist
12398,46,1,0.693147181,817.36,3,1,3,313,Need Attention
12399,120,4,1.609437912,629.47,2,3,3,233,At-Risk High Value
12401,304,1,0.693147181,69.3,1,1,1,111,Lost
12402,324,1,0.693147181,147.6,1,1,1,111,Lost
12403,50,1,0.693147181,427.7,3,1,2,312,Need Attention
12405,149,1,0.693147181,1164.01,1,1,4,114,Lost
12406,23,2,1.098612289,2091.62,3,2,4,324,Potential Loyalist
12407,50,5,1.791759469,1429.69,3,4,4,344,Loyalist
12408,33,4,1.609437912,1891.81,3,3,4,334,Potential Loyalist
12409,79,3,1.386294361,8229.55,2,3,4,234,At-Risk High Value
