CustomerID,Monetary,H1_Orders,H2_Orders,Diff_Orders
13798,5,34,21,-13
14298,5,26,13,-13
13113,5,17,6,-11
14606,5,48,37,-11
15039,5,28,17,-11
16333,5,16,6,-10
16553,5,10,0,-10
13089,5,49,40,-9
15235,5,9,0,-9
17504,5,9,0,-9
13742,5,10,2,-8
16422,5,28,20,-8
13001,5,10,3,-7
13534,5,15,8,-7
16745,5,12,5,-7
16919,5,8,1,-7
18198,5,12,5,-7
12980,5,7,1,-6
13102,5,14,8,-6
13694,5,27,21,-6
15379,5,6,0,-6
15465,5,11,5,-6
16525,5,15,9,-6
16672,5,13,7,-6
18118,5,15,9,-6
12779,5,6,1,-5
13082,5,7,2,-5
13093,5,5,0,-5
13631,5,8,3,-5
13767,5,18,13,-5
13854,5,14,9,-5
14180,5,13,8,-5
14543,5,10,5,-5
14701,5,7,2,-5
15291,5,9,4,-5
15513,5,11,6,-5
15606,5,7,2,-5
15874,5,6,1,-5
15939,5,10,5,-5
16837,5,8,3,-5
17061,5,8,3,-5
17799,5,7,2,-5
18008,5,7,2,-5
18231,5,5,0,-5
18260,5,5,0,-5
12481,5,6,2,-4
12524,5,6,2,-4
12594,5,7,3,-4
12643,5,5,1,-4
12901,5,16,12,-4
13069,5,12,8,-4
13668,5,12,8,-4
14227,5,7,3,-4
14364,5,6,2,-4
14810,5,7,3,-4
15061,5,20,16,-4
15601,5,8,4,-4
15696,5,6,2,-4
16497,5,5,1,-4
16814,5,12,8,-4
16923,5,11,7,-4
17050,5,5,1,-4
17381,5,15,11,-4
17428,5,15,11,-4
17940,5,7,3,-4
17954,5,7,3,-4
18041,5,11,7,-4
12428,5,6,3,-3
12613,5,4,1,-3
12683,5,8,5,-3
12712,5,7,4,-3
12727,5,5,2,-3
12754,5,3,0,-3
13015,5,4,1,-3
13097,5,6,3,-3
13141,5,4,1,-3
13230,5,8,5,-3
13324,5,6,3,-3
13468,5,18,15,-3
13784,5,7,4,-3
13883,5,4,1,-3
13911,5,6,3,-3
13983,5,7,4,-3
14258,5,6,3,-3
14711,5,7,4,-3
14733,5,6,3,-3
14735,5,17,14,-3
14828,5,3,0,-3
14854,5,5,2,-3
15044,5,8,5,-3
15046,5,9,6,-3
15098,5,3,0,-3
15129,5,7,4,-3
15281,5,6,3,-3
15498,5,14,11,-3
15719,5,8,5,-3
15738,5,9,6,-3
15749,5,3,0,-3
15854,5,7,4,-3
16316,5,5,2,-3
16618,5,4,1,-3
16709,5,4,1,-3
16729,5,12,9,-3
17017,5,9,6,-3
17819,5,4,1,-3
18044,5,6,3,-3
18075,5,6,3,-3
18223,5,8,5,-3
12359,5,3,1,-2
12474,5,10,8,-2
12483,5,5,3,-2
12539,5,3,1,-2
12567,5,5,3,-2
12590,5,2,0,-2
12621,5,10,8,-2
12625,5,2,0,-2
12681,5,11,9,-2
12726,5,4,2,-2
12840,5,3,1,-2
12867,5,4,2,-2
12916,5,3,1,-2
13317,5,3,1,-2
13505,5,3,1,-2
13552,5,7,5,-2
13700,5,6,4,-2
13842,5,5,3,-2
13952,5,2,0,-2
14031,5,9,7,-2
14101,5,4,2,-2
14107,5,4,2,-2
14309,5,5,3,-2
14395,5,5,3,-2
14534,5,10,8,-2
14680,5,8,6,-2
14688,5,11,9,-2
14952,5,6,4,-2
15065,5,3,1,-2
15194,5,7,5,-2
15296,5,4,2,-2
15358,5,11,9,-2
15382,5,4,2,-2
15410,5,5,3,-2
15491,5,4,2,-2
15615,5,11,9,-2
15665,5,2,0,-2
15708,5,4,2,-2
15797,5,3,1,-2
15805,5,9,7,-2
15808,5,2,0,-2
15834,5,3,1,-2
15867,5,7,5,-2
15932,5,5,3,-2
15981,5,5,3,-2
16019,5,5,3,-2
16033,5,10,8,-2
16180,5,5,3,-2
16550,5,3,1,-2
16556,5,4,2,-2
16670,5,6,4,-2
16700,5,7,5,-2
16779,5,11,9,-2
16871,5,4,2,-2
17188,5,4,2,-2
17230,5,2,0,-2
17306,5,10,8,-2
17365,5,5,3,-2
17400,5,3,1,-2
17512,5,6,4,-2
17591,5,4,2,-2
17613,5,8,6,-2
17723,5,4,2,-2
17735,5,10,8,-2
18073,5,7,5,-2
18173,5,3,1,-2
18219,5,5,3,-2
12356,5,2,1,-1
12408,5,3,2,-1
12429,5,2,1,-1
12432,5,3,2,-1
12501,5,1,0,-1
12502,5,3,2,-1
12520,5,3,2,-1
12668,5,2,1,-1
12684,5,4,3,-1
12708,5,5,4,-1
12714,5,3,2,-1
12721,5,3,2,-1
12731,5,6,5,-1
12744,5,4,3,-1
12747,5,5,4,-1
12753,5,3,2,-1
12755,5,1,0,-1
12909,5,3,2,-1
13004,5,9,8,-1
13047,5,4,3,-1
13081,5,5,4,-1
13135,5,1,0,-1
13263,5,18,17,-1
13265,5,3,2,-1
13267,5,9,8,-1
13268,5,6,5,-1
13334,5,2,1,-1
13451,5,3,2,-1
13458,5,7,6,-1
13520,5,3,2,-1
13632,5,3,2,-1
13758,5,3,2,-1
13777,5,12,11,-1
13802,5,2,1,-1
13869,5,2,1,-1
14016,5,2,1,-1
14085,5,8,7,-1
14175,5,2,1,-1
14211,5,5,4,-1
14239,5,6,5,-1
14291,5,6,5,-1
14334,5,4,3,-1
14408,5,4,3,-1
14439,5,1,0,-1
14461,5,2,1,-1
14502,5,6,5,-1
14505,5,4,3,-1
14527,5,26,25,-1
14659,5,5,4,-1
