Product,Total_Customers,Churned_Customers,Churn_Rate,Avg_Churn_Rate,Churn_Lift,Product_Label
KEY FOB ; GARAGE DESIGN,36,9,0.25,0.032,0.218,Risky_Product
METAL SIGN;CUPCAKE SINGLE HOOK,32,8,0.25,0.032,0.218,Risky_Product
SWISS ROLL TOWEL; CHOCOLATE SPOTS,32,8,0.25,0.032,0.218,Risky_Product
NURSERY A;B;C PAINTED LETTERS,32,6,0.188,0.032,0.156,Risky_Product
KEY FOB ; FRONT DOOR,67,12,0.179,0.032,0.147,Risky_Product
KEY FOB ; SHED,107,19,0.178,0.032,0.146,Risky_Product
FANCY FONT BIRTHDAY CARD,101,16,0.158,0.032,0.126,Risky_Product
AIRLINE LOUNGE;METAL SIGN,58,9,0.155,0.032,0.123,Risky_Product
SET 3 RETROSPOT TEA;COFFEE;SUGAR,98,14,0.143,0.032,0.111,Risky_Product
VINTAGE PAISLEY STATIONERY SET,79,11,0.139,0.032,0.107,Risky_Product
ELEPHANT; BIRTHDAY CARD,53,7,0.132,0.032,0.1,Risky_Product
FELTCRAFT BUTTERFLY HEARTS,32,4,0.125,0.032,0.093,Risky_Product
BIRTHDAY CARD; RETRO SPOT,58,7,0.121,0.032,0.089,Risky_Product
PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,44,5,0.114,0.032,0.082,Risky_Product
SET/4 WHITE RETRO STORAGE CUBES,36,4,0.111,0.032,0.079,Risky_Product
WHITE SPOT RED CERAMIC DRAWER KNOB,46,5,0.109,0.032,0.077,Risky_Product
KEY FOB ; BACK DOOR,93,10,0.108,0.032,0.076,Risky_Product
PORCELAIN T-LIGHT HOLDERS ASSORTED,47,5,0.106,0.032,0.074,Risky_Product
PACK OF 12 WOODLAND TISSUES,57,6,0.105,0.032,0.073,Risky_Product
ROSE 1 WICK MORRIS BOXED CANDLE,69,7,0.101,0.032,0.069,Risky_Product
SET OF 4 ENGLISH ROSE PLACEMATS,40,4,0.1,0.032,0.068,Risky_Product
PACK OF 12 PINK POLKADOT TISSUES,40,4,0.1,0.032,0.068,Risky_Product
CHOCOLATE 1 WICK MORRIS BOX CANDLE,30,3,0.1,0.032,0.068,Risky_Product
FRAPPUCINO SCARF KNITTING KIT,30,3,0.1,0.032,0.068,Risky_Product
BUFFALO BILL TREASURE BOOK BOX,51,5,0.098,0.032,0.066,Risky_Product
SET OF 6 NATIVITY MAGNETS,113,11,0.097,0.032,0.065,Risky_Product
