CustomerID,Max of InvoiceDate,Distinct Count of InvoiceDate,Sum of Revenue,Recency,Frequency,Monetary,RFM Score
,40886.43472,276,518305.55,5,5,5,555
12346,40561.42847,2,0,1,2,1,121
12347,40884.66111,7,4310,5,4,5,545
12348,40811.55069,4,1797.24,2,3,4,234
12349,40868.41042,1,1757.55,4,0,4,404
12350,40576.66736,1,334.4,1,0,2,102
12352,40850.60903,11,1560.41,3,5,4,354
12353,40682.74097,1,89,1,0,1,101
12354,40654.54931,1,1079.4,1,0,4,104
12355,40672.57569,1,459.4,1,0,2,102
12356,40864.36111,3,2811.43,4,3,5,435
12357,40853.67153,1,6264.55,3,0,5,305
12358,40885.43472,2,1168.06,5,2,4,524
12359,40879.47292,6,6245.53,5,4,5,545
12360,40834.64028,3,2662.06,3,3,5,335
12361,40599.57708,1,189.9,1,0,1,101
12362,40883.65278,13,5188.58,5,5,5,555
12363,40777.42917,2,552,2,2,3,223
12364,40879.43194,4,1313.1,5,3,4,534
12365,40595.58611,3,320.69,1,3,2,132
12367,40882.7,1,168.9,5,0,1,501
12370,40835.61875,4,3541.94,3,3,5,335
12371,40842.42778,2,1887.96,3,2,4,324
12372,40815.50833,3,1298.04,2,3,4,234
12373,40575.54861,1,364.6,1,0,2,102
12374,40861.65069,1,742.93,4,0,3,403
12375,40884.47708,3,455.42,5,3,2,532
12377,40571.65625,2,1628.12,1,2,4,124
12378,40757.44028,1,4008.62,2,0,5,205
12379,40805.42292,3,850.29,2,3,3,233
12380,40865.47708,5,2720.56,4,4,5,445
12381,40882.53056,6,1818.96,5,4,4,544
12383,40702.33472,6,1839.31,1,4,4,144
12384,40858.36042,3,566.16,4,3,3,433
12386,40549.52569,2,401.9,1,2,2,122
12388,40871.52083,6,2780.66,4,4,5,445
12390,40807.39792,1,549.84,2,0,3,203
12391,40865.50486,1,439.66,4,0,2,402
12393,40814.65347,4,1582.6,2,3,4,234
12394,40823.33889,2,1272.48,3,2,4,324
12395,40871.51389,15,2998.28,4,5,5,455
12397,40851.41111,2,2409.9,3,2,5,325
12398,40841.43542,1,1635.66,3,0,4,304
12399,40767.55208,4,1108.65,2,3,4,234
12401,40583.57639,1,84.3,1,0,1,101
12402,40563.57569,1,225.6,1,0,1,101
12403,40837.45833,2,427.7,3,2,2,322
12405,40738.36944,1,1710.39,2,0,4,204
12406,40864.80694,3,3280.75,4,3,5,435
12407,40837.42431,5,1708.12,3,4,4,344
12408,40854.52083,9,2857.57,3,5,5,355
12409,40808.44306,7,11056.93,2,4,5,245
12410,40585.65764,3,681.08,1,3,3,133
12412,40812.42778,3,1226.88,2,3,4,234
12413,40820.375,5,748.15,3,4,3,343
12414,40669.61875,3,562.41,1,3,3,133
12415,40862.59861,25,124324.45,4,5,5,455
12417,40883.61944,12,3578.8,5,5,5,555
12418,40774.46389,1,668.58,2,0,3,203
12420,40823.37153,1,600.39,3,0,3,303
12421,40871.37986,5,806.27,4,4,3,443
12422,40791.40833,3,803.56,2,3,3,233
12423,40886.42361,9,1849.11,5,5,4,554
12424,40724.50417,1,1760.96,2,0,4,204
12425,40808.72986,1,777.2,2,0,3,203
12426,40692.51806,1,582.73,1,0,3,103
12427,40875.45,5,742.37,4,4,3,443
12428,40861.34861,12,7917.2,4,5,5,455
12429,40877.72361,4,3773.8,5,3,5,535
12430,40843.63125,1,256.4,3,0,2,302
12431,40851.49653,18,6348.89,3,5,5,355
12432,40844.48819,5,5059.32,3,4,5,345
12433,40886.41806,7,13477.87,5,4,5,545
12434,40802.52639,4,765.19,2,3,3,233
12435,40807.37917,2,7829.89,2,2,5,225
12436,40787.50625,1,509.01,2,0,3,203
12437,40885.48264,19,4896.66,5,5,5,555
12438,40872.56111,2,2906.85,4,2,5,425
12441,40520.44792,1,173.55,1,0,1,101
12442,40883.59861,1,172.06,5,0,1,501
12444,40865.55764,5,5005.46,4,4,5,445
12445,40864.77986,1,133.4,4,0,1,401
12446,40829.53472,1,1002.31,3,0,4,304
12447,40643.55903,1,476.49,1,0,3,103
12448,40842.57361,1,449.45,3,0,2,302
12449,40864.57361,4,4067.29,4,3,5,435
12450,40730.61181,2,197.88,2,2,1,221
12451,40876.36111,6,9035.52,5,4,5,545
12452,40870.43611,3,430.57,4,3,2,432
12453,40752.58889,1,707.09,2,0,3,203
12454,40833.62986,2,1322,3,2,4,324
12455,40813.64653,6,2466.86,2,4,5,245
12456,40842.61181,4,3153.89,3,3,5,335
12457,40828.57361,11,2096.78,3,5,5,355
12458,40815.64236,2,947.4,2,2,4,224
12461,40792.70625,2,826.88,2,2,3,223
12462,40884.58472,4,1124.01,5,3,4,534
12463,40840.57153,7,1309.63,3,4,4,344
12464,40876.56458,8,1212.05,5,5,4,554
12465,40879.48194,3,733.89,5,3,3,533
12468,40743.57083,3,724.04,2,3,3,233
12471,40884.65486,49,18792.52,5,5,5,555
12472,40856.48125,13,6246.48,4,5,5,455
12473,40857.575,9,2873.73,4,5,5,455
12474,40869.61042,30,7166.77,4,5,5,455
12475,40833.42361,1,723.38,3,0,3,303
12476,40885.58889,20,6546.58,5,5,5,555
12477,40864.41042,9,13117.01,4,5,5,455
12478,40883.41389,1,680.99,5,0,3,503
12479,40883.39236,3,517.3,5,3,3,533
12480,40858.61944,4,3281.63,4,3,5,435
12481,40864.35347,11,5574.36,4,5,5,455
12483,40869.71042,13,2447.13,4,5,5,455
12484,40854.48403,8,4485.37,3,5,5,355
12488,40877.36806,3,1298.66,5,3,4,534
12489,40550.55069,1,334.93,1,0,2,102
12490,40881.67153,10,5417.93,5,5,5,555
12491,40848.5125,1,460.4,3,0,2,302
12492,40823.63542,2,263.21,3,2,2,322
12493,40721.42847,3,416.79,2,3,2,232
12494,40877.38958,12,1157.35,5,5,4,554
12497,40805.52014,1,1043.1,2,0,4,204
12498,40865.53681,3,403.7,4,3,2,432
12500,40863.68056,13,4224.27,4,5,5,455
12501,40571.57917,2,2119.68,1,2,5,125
12502,40791.49444,5,3723.87,2,4,5,245
12503,40549.49375,1,,1,0,1,101
12504,40868.66806,4,318,4,3,2,432
12505,40585.56875,1,-4.5,1,0,1,101
12506,40654.37083,1,73.5,1,0,1,101
12507,40752.71458,4,1258.06,2,3,4,234
12508,40860.65069,2,397.88,4,2,2,422
12509,40602.61458,1,176.5,1,0,1,101
12510,40744.42708,2,982.57,2,2,4,224
12512,40820.62153,2,138.03,3,2,1,321
12513,40802.53125,2,586.79,2,2,3,223
12514,40619.69306,1,1017.68,1,0,4,104
12515,40533.65486,1,383.7,1,0,2,102
12516,40809.38403,2,1312.06,2,2,4,224
12517,40858.58611,6,2443.65,4,4,5,445
12518,40886.42569,5,2061.93,5,4,5,545
12519,40823.39306,1,340.84,3,0,2,302
12520,40807.64097,6,2582.51,2,4,5,245
12521,40744.45208,1,599.68,2,0,3,203
12522,40847.64583,2,192.72,3,2,1,321
12523,40885.49028,13,1770.57,5,5,4,554
12524,40877.64653,8,4485.72,5,5,5,555
12526,40886.50625,3,1316.66,5,3,4,534
12527,40805.49653,3,348.71,2,3,2,232
12528,40877.61111,8,1927.28,5,5,4,554
12530,40827.52361,5,1623.63,3,4,4,344
12531,40872.46667,1,125.22,4,0,1,401
12532,40856.57431,1,349.83,4,0,2,402
12534,40756.43472,1,1089.18,2,0,4,204
12535,40795.36667,2,716.35,2,2,3,223
12536,40879.52986,5,4106.82,5,4,5,545
12538,40857.71944,1,363.95,4,0,2,402
12539,40864.5625,5,3852.5,4,4,5,445
12540,40867.47986,19,13309.04,4,5,5,455
12541,40857.44444,3,981.18,4,3,4,434
12544,40857.46667,2,372.7,4,2,2,422
12545,40811.56875,2,1000.39,2,2,4,224
12546,40840.50625,3,1161.5,3,3,4,334
12547,40689.52639,2,207.8,1,2,1,121
12548,40720.64931,1,95.2,2,0,1,201
12550,40807.60764,1,964.83,2,0,4,204
12551,40529.47431,1,168,1,0,1,101
12552,40848.41806,2,457.62,3,2,2,322
12553,40878.69306,14,3661.61,5,5,5,555
12556,40836.54583,2,604.24,3,2,3,323
12557,40870.70764,5,11990.96,4,4,5,445
12558,40885.42639,2,63,5,2,1,521
12559,40576.40903,3,536.21,1,3,3,133
12560,40881.57917,4,2101.39,5,3,5,535
12561,40584.48542,1,238.85,1,0,1,101
12562,40878.72222,7,3781.74,5,4,5,545
12564,40625.62153,1,456.9,1,0,2,102
12565,40605.48819,2,131.17,1,2,1,121
12566,40814.41458,2,346.7,2,2,2,222
12567,40864.45972,11,9197.94,4,5,5,455
12569,40884.68333,33,4100.99,5,5,5,555
12571,40847.42986,2,519.61,3,2,3,323
12572,40878.38889,3,1004.72,5,3,4,534
12573,40659.66111,1,160.54,1,0,1,101
12574,40571.38889,1,218.45,1,0,1,101
12576,40851.42431,6,1306.98,3,4,4,344
12577,40851.56111,4,564.2,3,3,3,333
12578,40865.5625,4,2753.36,4,3,5,435
12579,40813.58125,3,428.72,2,3,2,232
12580,40640.43333,1,415.7,1,0,2,102
12581,40847.37222,1,197.71,3,0,1,301
12582,40648.36458,2,511.36,1,2,3,123
12583,40884.33819,18,7205.34,5,5,5,555
12584,40883.39931,18,1927.95,5,5,4,554
12585,40652.56875,4,1999.81,1,3,4,134
12586,40869.68333,2,196.94,4,2,1,421
12587,40879.53264,1,144,5,0,1,501
12588,40847.62569,1,214.9,3,0,1,301
12589,40858.42986,2,646.68,4,2,3,423
12590,40696.60069,3,9861.38,1,3,5,135
12591,40569.60764,1,452.85,1,0,2,102
12592,40794.62778,2,437.6,2,2,2,222
12593,40778.52986,3,418.1,2,3,2,232
12594,40849.51389,11,3338.22,3,5,5,355
12596,40835.54306,2,618.27,3,2,3,323
12597,40867.56458,5,3683.13,4,4,5,445
12598,40877.5125,9,3002.68,5,5,5,555
12599,40857.56528,7,1032.58,4,4,4,444
12600,40858.43681,11,2599.04,4,5,5,455
12601,40697.42847,6,569.56,1,4,3,143
12602,40828.47361,1,153.12,3,0,1,301
12603,40865.44583,1,739.2,4,0,3,403
12604,40807.58889,2,254.18,2,2,2,222
12605,40521.65347,1,-7.5,1,0,1,101
12607,40828.67847,2,417,3,2,2,322
12609,40808.69028,3,1126.85,2,3,4,234
12610,40864.39861,7,2057.99,4,4,5,445
12611,40834.55,1,1193.32,3,0,4,304
12612,40829.50833,2,643.59,3,2,3,323
12613,40855.5625,6,3218.98,4,4,5,445
12614,40609.43194,1,315.6,1,0,2,102
12615,40884.62639,4,2291.19,5,3,5,535
12616,40801.70972,5,657.25,2,4,3,243
12617,40857.61042,1,352.98,4,0,2,402
12618,40865.46528,1,177.31,4,0,1,401
12619,40870.61944,13,3214.81,4,5,5,455
12620,40872.43056,3,1339.41,4,3,4,434
12621,40885.47569,23,13612.07,5,5,5,555
12622,40654.69375,1,180.1,1,0,1,101
12623,40610.57639,1,305.1,1,0,2,102
12624,40780.62778,2,641.13,2,2,3,223
12625,40675.4125,3,2632.32,1,3,5,135
12626,40863.67083,13,6496.35,4,5,5,455
12627,40876.50486,7,4478.53,5,4,5,545
12628,40882.55208,4,769.61,5,3,3,533
12630,40877.45,2,1308.38,5,2,4,524
12631,40829.57847,1,640.5,3,0,3,303
12633,40828.48611,5,2140.63,3,4,5,345
12635,40797.46111,2,1689.18,2,2,4,224
12637,40819.57361,11,6002.65,3,5,5,355
12638,40853.54931,1,671.69,3,0,3,303
12639,40648.53333,1,486.1,1,0,3,103
12640,40863.49444,3,1174.58,4,3,4,434
12641,40771.55972,1,185.9,2,0,1,201
12642,40861.62708,3,1013.26,4,3,4,434
12643,40758.53889,6,3344.64,2,4,5,245
12644,40757.43958,1,477.91,2,0,3,203
12645,40853.52639,5,1755.38,3,4,4,344
12646,40882.42639,2,1346.97,5,2,4,524
12647,40864.53889,13,3686.92,4,5,5,455
12648,40732.49653,1,318.05,2,0,2,202
12649,40779.61181,4,603.71,2,3,3,233
12650,40883.69028,1,314.44,5,0,2,502
12651,40552.53194,1,114,1,0,1,101
12652,40564.70903,2,914.53,1,2,4,124
12653,40738.44514,2,2209.85,2,2,5,225
12654,40876.42361,5,601.98,5,4,3,543
12656,40869.57083,8,3982.72,4,5,5,455
12657,40875.65764,5,1346.06,5,4,4,544
12658,40868.43194,1,686.05,4,0,3,403
12659,40857.49514,1,91.68,4,0,1,401
12660,40875.55972,1,245.1,5,0,2,502
12662,40886.49931,12,3817.08,5,5,5,555
12664,40878.71319,10,4881.88,5,5,5,555
12665,40562.35694,2,61.75,1,2,1,121
12666,40527.6125,1,-91.44,1,0,1,101
12667,40828.70833,1,620.13,3,0,3,303
12668,40879.63194,6,3758.18,5,4,5,545
