Description,Avg_Returner_Rate
10 COLOUR SPACEBOY PEN,0.0057
12 COLOURED PARTY BALLOONS,0
12 EGG HOUSE PAINTED WOOD,0.025633333
12 HANGING EGGS HAND PAINTED,0
12 MESSAGE CARDS WITH ENVELOPES,0.013325
12 PENCIL SMALL TUBE WOODLAND,0.0144
12 PENCILS SMALL TUBE RED RETROSPOT,0.00905
12 PENCILS SMALL TUBE SKULL,0.003525
12 PENCILS TALL TUBE RED RETROSPOT,0.004725
12 PENCILS TALL TUBE SKULLS,0.00625
12 PENCILS TALL TUBE WOODLAND,0.008725
12 RED ROSE PEG PLACE SETTINGS,0.031733333
15 PINK FLUFFY CHICKS IN BOX,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,0.004475
16 PIECE CUTLERY SET PANTRY DESIGN,0
18PC WOODEN CUTLERY SET DISPOSABLE,0
2 DAISIES HAIR COMB,0
2 PICTURE BOOK EGGS EASTER BUNNY,0
2 PICTURE BOOK EGGS EASTER CHICKS,0
2 PICTURE BOOK EGGS EASTER DUCKS,0
20 DOLLY PEGS RETROSPOT,0.0125
200 BENDY SKULL STRAWS,0
200 RED + WHITE BENDY STRAWS,0
3 BLACK CATS W HEARTS BLANK CARD,0
3 DRAWER ANTIQUE WHITE WOOD CABINET,0.011825
3 GARDENIA MORRIS BOXED CANDLES,0.007266667
3 HEARTS HANGING DECORATION RUSTIC,0.008575
3 HOOK HANGER MAGIC GARDEN,0
3 HOOK PHOTO SHELF ANTIQUE WHITE,0.0032
3 PIECE SPACEBOY COOKIE CUTTER SET,0.007075
3 RAFFIA RIBBONS 50'S CHRISTMAS,-2.50E-05
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,0
3 ROSE MORRIS BOXED CANDLES,0.008675
3 STRIPEY MICE FELTCRAFT,0.014875
3 TIER CAKE TIN GREEN AND CREAM,0
3 TIER CAKE TIN RED AND CREAM,0
3 TIER SWEETHEART GARDEN SHELF,0
3 TRADITIONAl BISCUIT CUTTERS SET,0
3 WHITE CHOC MORRIS BOXED CANDLES,0.005875
36 DOILIES DOLLY GIRL,0
36 DOILIES VINTAGE CHRISTMAS,0
36 FOIL HEART CAKE CASES,0
36 FOIL STAR CAKE CASES,-1.73E-18
36 PENCILS TUBE RED RETROSPOT,0.002975
36 PENCILS TUBE SKULLS,0.011775
36 PENCILS TUBE WOODLAND,0
3D CHRISTMAS STAMPS STICKERS,0.0078
3D DOG PICTURE PLAYING CARDS,0.009625
3D SHEET OF CAT STICKERS,0
3D SHEET OF DOG STICKERS,0
3D TRADITIONAL CHRISTMAS STICKERS,0
3D VINTAGE CHRISTMAS STICKERS,0.005675
4 BLUE DINNER CANDLES SILVER FLOCK,0
4 BURGUNDY WINE DINNER CANDLES,0
4 IVORY DINNER CANDLES SILVER FLOCK,0.01135
4 LAVENDER BOTANICAL DINNER CANDLES,0.00225
4 LILY BOTANICAL DINNER CANDLES,0.025
4 PEAR BOTANICAL DINNER CANDLES,0.00635
4 PINK DINNER CANDLE SILVER FLOCK,0
4 PINK FLOCK CHRISTMAS BALLS,0.047633333
