RFM Score,Number of Customers,Average Change in Revenue Per Month
555,324,1.37
554,58,-29.26
553,1,-7.94
545,61,-14.68
544,84,-29.46
543,24,21.83
542,3,-26.78
541,1,2.07
535,16,22529.56
534,53,-47.77
533,60,-18.9
532,25,-26.53
531,5,-7.95
525,2,1118.92
524,18,-23.01
523,24,-86.34
522,34,-17.87
521,16,-16.32
505,1,0
504,1,0
503,7,0
502,21,0
501,29,0
455,153,14.96
454,40,-0.11
453,5,1.32
451,1,-3.29
445,51,-29.6
444,101,-7.23
443,34,0.91
442,2,2.01
441,1,-608.89
435,17,-130.87
434,65,-42.81
433,87,11.87
432,26,15.68
431,1,-73.8
425,2,1126.71
424,10,-266.78
423,49,18.76
422,55,-12.51
421,26,-18.98
404,4,0
403,16,0
402,53,0
401,75,0
355,72,33.61
354,23,-34.42
353,4,-14.19
345,46,-145.92
344,71,6.22
343,25,-14.26
342,4,-9.82
340,1,0
335,19,-54.81
334,66,43.14
333,75,13.34
332,22,-40.27
331,12,14.22
325,4,372.72
324,23,-30.14
323,62,40.28
322,60,-11.44
321,29,13.5
305,1,0
304,12,0
303,37,0
302,91,0
301,116,0
255,22,9.47
254,14,12.89
253,2,-31.06
252,1,22.39
245,28,-141.94
244,45,-25.26
243,23,-27.06
242,5,31.25
241,4,-116.79
235,19,48.41
234,72,-35.28
233,76,-47.57
232,41,11.27
231,14,-20.94
225,4,-128.97
224,29,43.74
223,81,-2.6
222,61,-46.07
221,33,-28.65
205,6,0
204,20,0
203,50,0
202,93,0
201,127,0
155,5,-554.95
154,2,-53.27
153,2,-31.39
152,2,61.38
145,5,67.43
144,8,-24.84
143,11,-85.62
142,2,-266.86
141,1,62.13
135,6,-1316.46
134,19,-93.61
133,28,-71.88
132,35,-56.31
131,9,-1.31
125,1,0
124,20,-281.84
123,40,8.83
122,81,-17.43
121,51,-17.25
105,3,0
104,17,0
103,50,0
102,157,0
101,293,0
3,1,0
1,3,0
