Description,Repeat_Customers,Unique_Customers,Repeat_Rate,Repeat_Product_Flag
10 COLOUR SPACEBOY PEN,6,93,0.0645,1
12 COLOURED PARTY BALLOONS,1,45,0.0222,1
12 EGG HOUSE PAINTED WOOD,3,13,0.2308,1
12 HANGING EGGS HAND PAINTED,0,14,0,0
12 MESSAGE CARDS WITH ENVELOPES,6,83,0.0723,1
12 PENCIL SMALL TUBE WOODLAND,25,209,0.1196,1
12 PENCILS SMALL TUBE RED RETROSPOT,19,178,0.1067,1
12 PENCILS SMALL TUBE SKULL,5,73,0.0685,1
12 PENCILS TALL TUBE RED RETROSPOT,9,109,0.0826,1
12 PENCILS TALL TUBE SKULLS,10,128,0.0781,1
12 PENCILS TALL TUBE WOODLAND,10,89,0.1124,1
12 RED ROSE PEG PLACE SETTINGS,3,23,0.1304,1
15 PINK FLUFFY CHICKS IN BOX,0,2,0,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,25,182,0.1374,1
16 PIECE CUTLERY SET PANTRY DESIGN,0,12,0,0
2 PICTURE BOOK EGGS EASTER BUNNY,0,2,0,0
2 PICTURE BOOK EGGS EASTER CHICKS,0,2,0,0
2 PICTURE BOOK EGGS EASTER DUCKS,0,2,0,0
20 DOLLY PEGS RETROSPOT,8,64,0.125,1
200 BENDY SKULL STRAWS,0,10,0,0
200 RED + WHITE BENDY STRAWS,1,39,0.0256,1
3 BLACK CATS W HEARTS BLANK CARD,0,4,0,0
3 DRAWER ANTIQUE WHITE WOOD CABINET,26,178,0.1461,1
3 GARDENIA MORRIS BOXED CANDLES,5,56,0.0893,1
3 HEARTS HANGING DECORATION RUSTIC,27,183,0.1475,1
3 HOOK HANGER MAGIC GARDEN,0,2,0,0
3 HOOK PHOTO SHELF ANTIQUE WHITE,8,94,0.0851,1
3 PIECE SPACEBOY COOKIE CUTTER SET,8,120,0.0667,1
3 RAFFIA RIBBONS 50'S CHRISTMAS,8,132,0.0606,1
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,2,37,0.0541,1
3 ROSE MORRIS BOXED CANDLES,18,157,0.1146,1
3 STRIPEY MICE FELTCRAFT,21,183,0.1148,1
3 TIER CAKE TIN GREEN AND CREAM,2,37,0.0541,1
3 TIER CAKE TIN RED AND CREAM,1,47,0.0213,1
3 TIER SWEETHEART GARDEN SHELF,0,2,0,0
3 TRADITIONAl BISCUIT CUTTERS SET,4,57,0.0702,1
3 WHITE CHOC MORRIS BOXED CANDLES,9,93,0.0968,1
36 DOILIES DOLLY GIRL,0,7,0,0
36 DOILIES VINTAGE CHRISTMAS,0,27,0,0
36 FOIL HEART CAKE CASES,2,39,0.0513,1
36 FOIL STAR CAKE CASES,4,41,0.0976,1
36 PENCILS TUBE RED RETROSPOT,8,92,0.087,1
36 PENCILS TUBE SKULLS,13,90,0.1444,1
36 PENCILS TUBE WOODLAND,0,2,0,0
3D CHRISTMAS STAMPS STICKERS,5,70,0.0714,1
3D DOG PICTURE PLAYING CARDS,2,27,0.0741,1
3D SHEET OF CAT STICKERS,0,7,0,0
3D SHEET OF DOG STICKERS,0,14,0,0
3D TRADITIONAL CHRISTMAS STICKERS,11,110,0.1,1
3D VINTAGE CHRISTMAS STICKERS,5,96,0.0521,1
4 BLUE DINNER CANDLES SILVER FLOCK,0,11,0,0
4 BURGUNDY WINE DINNER CANDLES,0,5,0,0
4 IVORY DINNER CANDLES SILVER FLOCK,3,53,0.0566,1
4 LAVENDER BOTANICAL DINNER CANDLES,9,114,0.0789,1
4 LILY BOTANICAL DINNER CANDLES,5,53,0.0943,1
4 PEAR BOTANICAL DINNER CANDLES,17,124,0.1371,1
4 PINK DINNER CANDLE SILVER FLOCK,1,26,0.0385,1
4 PINK FLOCK CHRISTMAS BALLS,1,11,0.0909,1
4 PURPLE FLOCK DINNER CANDLES,1,30,0.0333,1
4 ROSE PINK DINNER CANDLES,0,2,0,0
4 SKY BLUE DINNER CANDLES,0,6,0,0
4 TRADITIONAL SPINNING TOPS,15,166,0.0904,1
4 VANILLA BOTANICAL CANDLES,19,138,0.1377,1
4 WILDFLOWER BOTANICAL CANDLES,1,38,0.0263,1
5 HOOK HANGER RED MAGIC TOADSTOOL,0,5,0,0
5 STRAND GLASS NECKLACE AMETHYST,0,1,0,0
5 STRAND GLASS NECKLACE BLACK,0,1,0,0
5 STRAND GLASS NECKLACE CRYSTAL,0,3,0,0
50CM METAL STRING WITH 7 CLIPS,1,5,0.2,1
50'S CHRISTMAS GIFT BAG LARGE,3,112,0.0268,1
50'S CHRISTMAS PAPER GIFT BAG,2,86,0.0233,1
6 CHOCOLATE LOVE HEART T-LIGHTS,5,41,0.122,1
6 EGG HOUSE PAINTED WOOD,3,23,0.1304,1
6 GIFT TAGS 50'S CHRISTMAS,21,237,0.0886,1
6 GIFT TAGS VINTAGE CHRISTMAS,18,223,0.0807,1
6 RIBBONS ELEGANT CHRISTMAS,9,110,0.0818,1
6 RIBBONS EMPIRE,4,62,0.0645,1
6 RIBBONS RUSTIC CHARM,27,199,0.1357,1
6 RIBBONS SHIMMERING PINKS,2,47,0.0426,1
6 ROCKET BALLOONS,3,61,0.0492,1
60 CAKE CASES DOLLY GIRL DESIGN,7,117,0.0598,1
60 CAKE CASES VINTAGE CHRISTMAS,55,335,0.1642,1
60 TEATIME FAIRY CAKE CASES,20,176,0.1136,1
6PC WOOD PLATE SET DISPOSABLE,0,2,0,0
70'S ALPHABET WALL ART,0,3,0,0
72 SWEETHEART FAIRY CAKE CASES,17,160,0.1062,1
75 GREEN FAIRY CAKE CASES,0,11,0,0
75 GREEN PETIT FOUR CASES,0,11,0,0
A PRETTY THANK YOU CARD,0,45,0,0
A4 WALL TIDY BLUE OFFICE,0,2,0,0
A4 WALL TIDY RED FLOWERS,0,2,0,0
ABC TREASURE BOOK BOX,4,59,0.0678,1
ABSTRACT CIRCLE JOURNAL,0,4,0,0
ABSTRACT CIRCLES POCKET BOOK,1,20,0.05,1
ABSTRACT CIRCLES SKETCHBOOK,2,31,0.0645,1
ACRYLIC GEOMETRIC LAMP,0,4,0,0
ACRYLIC HANGING JEWEL;BLUE,1,13,0.0769,1
ACRYLIC HANGING JEWEL;PINK,0,6,0,0
ACRYLIC JEWEL ICICLE; BLUE,0,1,0,0
ACRYLIC JEWEL ICICLE; PINK,0,13,0,0
ACRYLIC JEWEL SNOWFLAKE; PINK,0,3,0,0
ADULT APRON APPLE DELIGHT,4,40,0.1,1
ADVENT CALENDAR GINGHAM SACK,11,132,0.0833,1
AFGHAN SLIPPER SOCK PAIR,0,8,0,0
AGED GLASS SILVER T-LIGHT HOLDER,12,117,0.1026,1
AIRLINE BAG VINTAGE JET SET BROWN,2,34,0.0588,1
AIRLINE BAG VINTAGE JET SET RED,5,61,0.082,1
AIRLINE BAG VINTAGE JET SET WHITE,1,29,0.0345,1
AIRLINE BAG VINTAGE TOKYO 78,13,91,0.1429,1
AIRLINE BAG VINTAGE WORLD CHAMPION,2,43,0.0465,1
AIRLINE LOUNGE;METAL SIGN,15,58,0.2586,1
ALARM CLOCK BAKELIKE CHOCOLATE,17,128,0.1328,1
ALARM CLOCK BAKELIKE GREEN,57,311,0.1833,1
ALARM CLOCK BAKELIKE IVORY,26,175,0.1486,1
ALARM CLOCK BAKELIKE ORANGE,0,8,0,0
ALARM CLOCK BAKELIKE PINK,32,241,0.1328,1
ALARM CLOCK BAKELIKE RED,60,317,0.1893,1
ALPHABET HEARTS STICKER SHEET,0,11,0,0
ALPHABET STENCIL CRAFT,3,79,0.038,1
ALUMINIUM STAMPED HEART,5,49,0.102,1
AMBER CHUNKY BEAD BRACELET W STRAP,0,2,0,0
AMBER CHUNKY GLASS+BEAD NECKLACE,0,2,0,0
AMBER DROP EARRINGS W LONG BEADS,0,1,0,0
AMBER FINE BEAD NECKLACE W TASSEL,0,2,0,0
AMBER GLASS/SHELL/PEARL NECKLACE,0,1,0,0
AMBER GLASS/SILVER BRACELET,0,2,0,0
AMETHYST CHUNKY BEAD BRACELET W STR,0,4,0,0
ANGEL DECORATION 3 BUTTONS,7,97,0.0722,1
ANGEL DECORATION PAINTED ZINC,0,25,0,0
ANGEL DECORATION STARS ON DRESS,11,66,0.1667,1
ANIMAL STICKERS,0,22,0,0
ANIMALS AND NATURE WALL ART,0,11,0,0
ANT COPPER LIME BOUDICCA BRACELET,0,9,0,0
ANT COPPER PINK BOUDICCA BRACELET,0,5,0,0
ANT COPPER RED BOUDICCA BRACELET,0,4,0,0
ANT COPPER TURQ BOUDICCA BRACELET,0,6,0,0
ANT SILVER FUSCHIA BOUDICCA RING,0,2,0,0
ANT SILVER LIME GREEN BOUDICCA RING,0,5,0,0
ANT SILVER PURPLE BOUDICCA RING,0,2,0,0
ANT SILVER TURQUOISE BOUDICCA RING,0,1,0,0
ANT WHITE WIRE HEART SPIRAL,3,16,0.1875,1
ANTIQUE ALL GLASS CANDLESTICK,2,70,0.0286,1
ANTIQUE CREAM CUTLERY CUPBOARD,0,6,0,0
ANTIQUE CREAM CUTLERY SHELF,0,4,0,0
ANTIQUE GLASS DRESSING TABLE POT,6,69,0.087,1
ANTIQUE GLASS PEDESTAL BOWL,9,65,0.1385,1
ANTIQUE GLASS PLACE SETTING,0,2,0,0
ANTIQUE HEART SHELF UNIT,9,119,0.0756,1
ANTIQUE IVORY WIRE BOWL SMALL,0,6,0,0
ANTIQUE OPAL WHITE FLOWER EARRINGS,0,2,0,0
ANTIQUE SILVER BAUBLE LAMP,8,78,0.1026,1
ANTIQUE SILVER TEA GLASS ENGRAVED,15,125,0.12,1
ANTIQUE SILVER T-LIGHT GLASS,51,313,0.1629,1
ANTIQUE TALL SWIRLGLASS TRINKET POT,4,51,0.0784,1
APOTHECARY MEASURING JAR,0,9,0,0
APPLE BATH SPONGE,8,50,0.16,1
AQUA BERTIE GLASS BEAD BAG CHARM,0,2,0,0
AREA PATROLLED METAL SIGN,17,119,0.1429,1
ARMY CAMO BOOKCOVER TAPE,0,2,0,0
ART LIGHTS;FUNK MONKEY,8,16,0.5,1
ASS COLOUR GLOWING TIARAS,0,21,0,0
ASS DES PHONE SPONGE CRAFT STICKER,0,6,0,0
ASS FLORAL PRINT MULTI SCREWDRIVER,4,80,0.05,1
ASS FLORAL PRINT SPIRIT LEVEL,0,19,0,0
ASSORTED BOTTLE TOP MAGNETS,2,46,0.0435,1
ASSORTED CAKES FRIDGE MAGNETS,0,4,0,0
ASSORTED CIRCULAR MOBILE,1,10,0.1,1
ASSORTED COLOUR BIRD ORNAMENT,73,431,0.1694,1
ASSORTED COLOUR LIZARD SUCTION HOOK,2,16,0.125,1
ASSORTED COLOUR METAL CAT,1,10,0.1,1
ASSORTED COLOUR MINI CASES,11,115,0.0957,1
ASSORTED COLOUR SUCTION CUP HOOK,0,6,0,0
ASSORTED COLOUR T-LIGHT HOLDER,1,44,0.0227,1
ASSORTED COLOURED CIRCLE MOBILE,0,7,0,0
ASSORTED COLOURS SILK FAN,3,60,0.05,1
ASSORTED CREEPY CRAWLIES,1,4,0.25,1
ASSORTED EASTER DECORATIONS BELLS,0,3,0,0
ASSORTED EASTER GIFT TAGS,0,2,0,0
"ASSORTED FLOWER COLOUR ""LEIS""",0,17,0,0
ASSORTED INCENSE PACK,0,10,0,0
ASSORTED MONKEY SUCTION CUP HOOK,1,11,0.0909,1
ASSORTED SHAPES PHOTO CLIP SILVER,0,9,0,0
ASSORTED TUTTI FRUTTI BRACELET,1,27,0.037,1
ASSORTED TUTTI FRUTTI FOB NOTEBOOK,2,30,0.0667,1
ASSORTED TUTTI FRUTTI HEART BOX,0,8,0,0
ASSORTED TUTTI FRUTTI LARGE PURSE,0,5,0,0
ASSORTED TUTTI FRUTTI MIRROR,1,7,0.1429,1
ASSORTED TUTTI FRUTTI NOTEBOOK,1,21,0.0476,1
ASSORTED TUTTI FRUTTI PEN,10,61,0.1639,1
ASSORTED TUTTI FRUTTI SMALL PURSE,1,8,0.125,1
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,0,2,0,0
ASSTD DESIGN 3D PAPER STICKERS,0,18,0,0
ASSTD DESIGN RACING CAR PEN,2,19,0.1053,1
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,0,20,0,0
ASSTD MULTICOLOUR CIRCLES MUG,0,1,0,0
ASSTD RASTA KEY-CHAINS,0,4,0,0
BABUSHKA LIGHTS STRING OF 10,3,35,0.0857,1
BABY MOUSE RED GINGHAM DRESS,0,16,0,0
BAG 125g SWIRLY MARBLES,5,114,0.0439,1
BAG 250g SWIRLY MARBLES,9,114,0.0789,1
BAG 500g SWIRLY MARBLES,11,80,0.1375,1
BAKING MOULD CHOCOLATE CUPCAKES,1,16,0.0625,1
BAKING MOULD EASTER EGG MILK CHOC,0,6,0,0
BAKING MOULD EASTER EGG WHITE CHOC,0,2,0,0
BAKING MOULD HEART MILK CHOCOLATE,3,32,0.0938,1
BAKING MOULD HEART WHITE CHOCOLATE,1,21,0.0476,1
BAKING MOULD ROSE MILK CHOCOLATE,1,8,0.125,1
BAKING MOULD ROSE WHITE CHOCOLATE,0,9,0,0
BAKING MOULD TOFFEE CUP CHOCOLATE,1,16,0.0625,1
BAKING SET 9 PIECE RETROSPOT,60,394,0.1523,1
BAKING SET SPACEBOY DESIGN,20,189,0.1058,1
BALLOON ART MAKE YOUR OWN FLOWERS,1,52,0.0192,1
BALLOON PUMP WITH 10 BALLOONS,2,49,0.0408,1
BALLOON WATER BOMB PACK OF 35,1,36,0.0278,1
BALLOONS WRITING SET,12,119,0.1008,1
Bank Charges,1,7,0.1429,1
BANQUET BIRTHDAY CARD,1,22,0.0455,1
BAROQUE BUTTERFLY EARRINGS CRYSTAL,0,2,0,0
BASKET OF FLOWERS SEWING KIT,1,20,0.05,1
BASKET OF TOADSTOOLS,2,28,0.0714,1
BATH BUILDING BLOCK WORD,3,55,0.0545,1
BATHROOM HOOK,0,28,0,0
BATHROOM METAL SIGN,16,94,0.1702,1
BATHROOM SCALES FOOTPRINTS IN SAND,0,4,0,0
BATHROOM SCALES RUBBER DUCKS,0,5,0,0
BATHROOM SCALES; TROPICAL BEACH,1,3,0.3333,1
BEACH HUT SHELF W 3 DRAWERS,1,5,0.2,1
BEADED CHANDELIER T-LIGHT HOLDER,3,12,0.25,1
BEADED CRYSTAL HEART BLUE LARGE,0,13,0,0
BEADED CRYSTAL HEART BLUE ON STICK,1,3,0.3333,1
BEADED CRYSTAL HEART BLUE SMALL,1,3,0.3333,1
BEADED CRYSTAL HEART GREEN LARGE,1,10,0.1,1
BEADED CRYSTAL HEART GREEN ON STICK,1,8,0.125,1
BEADED CRYSTAL HEART GREEN SMALL,0,2,0,0
BEADED CRYSTAL HEART PINK LARGE,0,10,0,0
BEADED CRYSTAL HEART PINK ON STICK,1,6,0.1667,1
BEADED CRYSTAL HEART PINK SMALL,1,7,0.1429,1
BEADED PEARL HEART WHITE ON STICK,0,2,0,0
BELLE JARDINIERE CUSHION COVER,12,132,0.0909,1
BEWARE OF THE CAT METAL SIGN,5,99,0.0505,1
BICYCLE PUNCTURE REPAIR KIT,17,171,0.0994,1
BICYCLE SAFTEY WALL ART,0,28,0,0
BIG DOUGHNUT FRIDGE MAGNETS,1,9,0.1111,1
BILI NUT AND WOOD NECKLACE,0,2,0,0
BINGO SET,10,134,0.0746,1
BIRD DECORATION GREEN POLKADOT,0,2,0,0
BIRD DECORATION RED RETROSPOT,2,12,0.1667,1
BIRD HOUSE HOT WATER BOTTLE,8,115,0.0696,1
BIRDCAGE DECORATION TEALIGHT HOLDER,1,22,0.0455,1
BIRDHOUSE DECORATION MAGIC GARDEN,1,5,0.2,1
BIRDHOUSE GARDEN MARKER,2,14,0.1429,1
BIRDS MOBILE VINTAGE DESIGN,2,26,0.0769,1
BIRTHDAY BANQUET GIFT WRAP,0,9,0,0
BIRTHDAY CARD; RETRO SPOT,9,58,0.1552,1
BIRTHDAY PARTY CORDON BARRIER TAPE,2,22,0.0909,1
BISCUIT TIN 50'S CHRISTMAS,16,202,0.0792,1
BISCUIT TIN VINTAGE CHRISTMAS,13,184,0.0707,1
BISCUIT TIN VINTAGE GREEN,2,21,0.0952,1
BISCUIT TIN VINTAGE RED,1,53,0.0189,1
BLACK AND WHITE CAT BOWL,0,4,0,0
BLACK BAROQUE CARRIAGE CLOCK,1,7,0.1429,1
BLACK BAROQUE WALL CLOCK,0,2,0,0
BLACK BIRD GARDEN DESIGN MUG,0,5,0,0
BLACK CHRISTMAS TREE 120CM,2,24,0.0833,1
BLACK CHRISTMAS TREE 60CM,2,16,0.125,1
BLACK CHUNKY BEAD BRACELET W STRAP,0,4,0,0
BLACK DROP CRYSTAL NECKLACE,0,1,0,0
BLACK EAR MUFF HEADPHONES,0,9,0,0
BLACK ENAMEL FLOWER RING,0,1,0,0
BLACK ENCHANTED FOREST PLACEMAT,1,10,0.1,1
BLACK GEMSTONE BRACELET,0,2,0,0
BLACK GEMSTONE NECKLACE 45CM,0,3,0,0
BLACK HEART CARD HOLDER,1,47,0.0213,1
BLACK KITCHEN SCALES,2,36,0.0556,1
BLACK LOVE BIRD CANDLE,1,5,0.2,1
BLACK LOVE BIRD T-LIGHT HOLDER,0,4,0,0
BLACK MINI TAPE MEASURE,1,9,0.1111,1
BLACK ORANGE SQUEEZER,1,7,0.1429,1
BLACK PIRATE TREASURE CHEST,2,47,0.0426,1
BLACK RECORD COVER FRAME,19,136,0.1397,1
BLACK SILOUETTE CANDLE PLATE,0,9,0,0
BLACK SIL'T SQU CANDLE PLATE,0,3,0,0
BLACK SQUARE TABLE CLOCK,1,16,0.0625,1
BLACK SWEETHEART BRACELET,0,6,0,0
BLACK TEA TOWEL CLASSIC DESIGN,2,54,0.037,1
BLACK TEA;COFFEE;SUGAR JARS,4,18,0.2222,1
BLACK VINT ART DEC CRYSTAL BRACELET,0,2,0,0
BLACK VINT ART DEC CRYSTAL NECKLACE,0,2,0,0
BLACK WINE GLASS,0,2,0,0
BLACK/BLUE POLKADOT UMBRELLA,5,73,0.0685,1
BLACK+WHITE NECKLACE W TASSEL,0,1,0,0
BLING KEY RING STAND,0,4,0,0
BLOND DOLL DOORSTOP,0,9,0,0
BLOSSOM IMAGES GIFT WRAP SET,3,51,0.0588,1
BLOSSOM IMAGES NOTEBOOK SET,1,14,0.0714,1
BLUE BIRDHOUSE DECORATION,2,22,0.0909,1
BLUE BUNNY EASTER EGG BASKET,0,1,0,0
BLUE CALCULATOR RULER,6,47,0.1277,1
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,4,59,0.0678,1
BLUE CHENILLE SHAGGY CUSHION COVER,0,3,0,0
BLUE CIRCLES DESIGN MONKEY DOLL,0,2,0,0
BLUE CIRCLES DESIGN TEDDY,0,11,0,0
BLUE CLIMBING HYDRANGA ART FLOWER,0,3,0,0
BLUE COAT RACK PARIS FASHION,0,29,0,0
BLUE DAISY MOBILE,0,3,0,0
BLUE DELPHINIUM ARTIFICIAL FLOWER,0,3,0,0
BLUE DIAMANTE PEN IN GIFT BOX,1,11,0.0909,1
