Description,Total_Revenue_Non_Repeat,Total_Revenue_Repeat
10 COLOUR SPACEBOY PEN,172.94,2474.09
12 COLOURED PARTY BALLOONS,1.7,796.38
12 EGG HOUSE PAINTED WOOD,12.75,391.22
12 HANGING EGGS HAND PAINTED,2.08,128.3
12 MESSAGE CARDS WITH ENVELOPES,86.25,1256.32
12 PENCIL SMALL TUBE WOODLAND,546.7,3508.88
12 PENCILS SMALL TUBE RED RETROSPOT,330.03,3345.48
12 PENCILS SMALL TUBE SKULL,155.75,2146.01
12 PENCILS TALL TUBE RED RETROSPOT,154.89,1566.78
12 PENCILS TALL TUBE SKULLS,209.15,2449.74
12 PENCILS TALL TUBE WOODLAND,81.31,1762.01
12 RED ROSE PEG PLACE SETTINGS,64.5,349.61
15CM CHRISTMAS GLASS BALL 20 LIGHTS,499.34,6845.87
16 PIECE CUTLERY SET PANTRY DESIGN,94.75,265.15
20 DOLLY PEGS RETROSPOT,52.2,1056.82
200 BENDY SKULL STRAWS,16.25,56.02
200 RED + WHITE BENDY STRAWS,78.91,241.63
3 DRAWER ANTIQUE WHITE WOOD CABINET,162.1,6194.82
3 GARDENIA MORRIS BOXED CANDLES,6.69,1369.04
3 HEARTS HANGING DECORATION RUSTIC,456.06,5789.16
3 HOOK PHOTO SHELF ANTIQUE WHITE,152.3,1650.62
3 PIECE SPACEBOY COOKIE CUTTER SET,298.61,1444.34
3 RAFFIA RIBBONS 50'S CHRISTMAS,188.74,1595.5
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,75.92,578.94
3 ROSE MORRIS BOXED CANDLES,228.39,2478.62
3 STRIPEY MICE FELTCRAFT,181.01,3071.13
3 TIER CAKE TIN GREEN AND CREAM,107.95,1372.12
3 TIER CAKE TIN RED AND CREAM,64.1,1606.72
3 TRADITIONAl BISCUIT CUTTERS SET,21.1,934.91
3 WHITE CHOC MORRIS BOXED CANDLES,227.56,1767.34
36 DOILIES DOLLY GIRL,69.6,80.1
36 DOILIES VINTAGE CHRISTMAS,28.93,506.52
36 FOIL HEART CAKE CASES,34,422.67
36 FOIL STAR CAKE CASES,75.39,813.49
36 PENCILS TUBE RED RETROSPOT,135.41,1753.98
36 PENCILS TUBE SKULLS,116.23,1136.12
3D CHRISTMAS STAMPS STICKERS,193.94,855.51
3D DOG PICTURE PLAYING CARDS,23.25,459
3D SHEET OF CAT STICKERS,9.35,25.2
3D SHEET OF DOG STICKERS,1.7,409.69
3D TRADITIONAL CHRISTMAS STICKERS,202.8,4496.74
3D VINTAGE CHRISTMAS STICKERS,326.94,1286.93
4 BLUE DINNER CANDLES SILVER FLOCK,7.65,70.31
4 IVORY DINNER CANDLES SILVER FLOCK,75.15,615.56
4 LAVENDER BOTANICAL DINNER CANDLES,133.9,1665.74
4 LILY BOTANICAL DINNER CANDLES,98.2,536.14
4 PEAR BOTANICAL DINNER CANDLES,182.86,1599.18
4 PINK DINNER CANDLE SILVER FLOCK,41.4,187.34
4 PURPLE FLOCK DINNER CANDLES,123.15,681.09
4 SKY BLUE DINNER CANDLES,1.17,23.74
4 TRADITIONAL SPINNING TOPS,332.47,2708.57
4 VANILLA BOTANICAL CANDLES,199.89,2107.27
4 WILDFLOWER BOTANICAL CANDLES,21.15,610.4
5 STRAND GLASS NECKLACE CRYSTAL,12.7,62.62
50'S CHRISTMAS GIFT BAG LARGE,209.1,1831.55
50'S CHRISTMAS PAPER GIFT BAG,80.55,1081.36
6 CHOCOLATE LOVE HEART T-LIGHTS,226.25,1052.71
6 EGG HOUSE PAINTED WOOD,15.9,506.33
6 GIFT TAGS 50'S CHRISTMAS,449.57,6174.27
6 GIFT TAGS VINTAGE CHRISTMAS,312.54,3113.61
6 RIBBONS ELEGANT CHRISTMAS,108.35,1716.23
6 RIBBONS EMPIRE,133.05,876.18
6 RIBBONS RUSTIC CHARM,475.36,5300.72
6 RIBBONS SHIMMERING PINKS,86.89,806.99
6 ROCKET BALLOONS,99.33,528.32
60 CAKE CASES DOLLY GIRL DESIGN,207.93,1522.11
60 CAKE CASES VINTAGE CHRISTMAS,487.04,6172.2
60 TEATIME FAIRY CAKE CASES,173.56,2891.73
72 SWEETHEART FAIRY CAKE CASES,144.39,2878.6
75 GREEN FAIRY CAKE CASES,1.65,134.04
75 GREEN PETIT FOUR CASES,35.7,95.32
A PRETTY THANK YOU CARD,60.16,332.3
A4 WALL TIDY BLUE OFFICE,0.53,5.04
A4 WALL TIDY RED FLOWERS,0.53,20.28
ABC TREASURE BOOK BOX,124.43,1716.47
ABSTRACT CIRCLE JOURNAL,0.42,15.1
