CustomerID,RFM,Segment,Num_Purchase_Dates,Days_From_End,Personal_Churn+Window,Churn_Score
13819,133,At-Risk High Value,3,301,9.6,31.35416667
12845,132,Lost,4,267,12.8,20.859375
17509,234,At-Risk High Value,3,57,3,19
15334,132,Lost,3,156,9.4,16.59574468
15107,142,At-Risk High Value,6,311,20.4,15.24509804
16725,143,At-Risk High Value,6,302,20.6,14.66019417
16997,132,Lost,3,288,20,14.4
12811,132,Lost,3,260,18.6,13.97849462
13093,144,At-Risk High Value,7,275,21,13.0952381
13963,133,At-Risk High Value,4,308,24.4,12.62295082
16866,231,Lost,3,140,11.4,12.28070175
17955,132,Lost,3,198,16.2,12.22222222
14584,133,At-Risk High Value,4,169,14,12.07142857
15100,133,At-Risk High Value,3,333,27.8,11.97841727
15808,134,At-Risk High Value,4,306,28.6,10.6993007
17062,132,Lost,4,313,29.8,10.5033557
16832,131,Lost,3,184,18,10.22222222
17912,132,Lost,4,310,31,10
17312,233,At-Risk High Value,3,138,14.4,9.583333333
15235,144,At-Risk High Value,10,217,23.2,9.353448276
13856,132,Lost,3,168,19,8.842105263
16226,131,Lost,3,203,23.2,8.75
15508,133,At-Risk High Value,4,189,22,8.590909091
18073,244,At-Risk High Value,10,114,13.4,8.507462687
17444,134,At-Risk High Value,3,147,17.6,8.352272727
16919,144,At-Risk High Value,11,156,18.8,8.29787234
16174,233,At-Risk High Value,3,126,15.2,8.289473684
14779,132,Lost,3,280,33.8,8.284023669
15881,133,At-Risk High Value,3,312,39.8,7.83919598
14176,132,Lost,3,297,38.6,7.694300518
13715,133,At-Risk High Value,4,281,43.8,6.415525114
17723,244,At-Risk High Value,6,127,20.8,6.105769231
14616,132,Lost,3,242,40.2,6.019900498
12754,134,At-Risk High Value,3,235,39.8,5.904522613
16378,132,Lost,3,247,42,5.880952381
17230,134,At-Risk High Value,4,264,45.2,5.840707965
12999,132,Lost,3,196,33.8,5.798816568
18231,144,At-Risk High Value,5,192,34,5.647058824
17504,144,At-Risk High Value,6,206,36.6,5.628415301
13217,233,At-Risk High Value,3,122,21.8,5.596330275
12980,144,At-Risk High Value,9,157,28.8,5.451388889
16037,133,At-Risk High Value,3,269,50.2,5.358565737
14414,244,At-Risk High Value,7,91,17,5.352941176
14532,133,At-Risk High Value,4,236,45,5.244444444
15332,123,At-Risk High Value,2,366,3,5.228571429
16499,122,Lost,2,360,4,5.142857143
15224,122,Lost,2,358,4,5.114285714
12967,124,At-Risk High Value,2,358,13,5.114285714
17691,121,Lost,2,358,10,5.114285714
17849,133,At-Risk High Value,4,218,43.8,4.97716895
17874,133,At-Risk High Value,3,185,38,4.868421053
12386,122,Lost,2,337,29,4.814285714
12829,122,Lost,2,336,24,4.8
15649,123,At-Risk High Value,2,336,31,4.8
12793,122,Lost,2,334,37,4.771428571
17406,124,At-Risk High Value,2,333,33,4.757142857
16306,142,At-Risk High Value,6,213,45,4.733333333
18085,122,Lost,2,330,43,4.714285714
12872,122,Lost,2,326,39,4.657142857
13475,133,At-Risk High Value,4,191,41.2,4.63592233
17890,122,Lost,2,322,39,4.6
17770,133,At-Risk High Value,4,198,43.4,4.562211982
15213,121,Lost,2,318,11,4.542857143
15661,122,Lost,2,317,21,4.528571429
16745,244,At-Risk High Value,17,86,19,4.526315789
13506,122,Lost,2,316,53,4.514285714
17656,244,At-Risk High Value,5,73,16.2,4.50617284
12735,122,Lost,2,315,22,4.5
12377,123,At-Risk High Value,2,315,39,4.5
18095,122,Lost,2,312,20,4.457142857
14496,122,Lost,2,311,62,4.442857143
12559,123,At-Risk High Value,2,310,9,4.428571429
17223,122,Lost,2,310,58,4.428571429
17580,131,Lost,3,252,57.2,4.405594406
12457,244,At-Risk High Value,7,66,15,4.4
14573,144,At-Risk High Value,8,179,40.8,4.387254902
17392,122,Lost,2,306,52,4.371428571
17358,122,Lost,2,303,52,4.328571429
13811,133,At-Risk High Value,3,183,42.4,4.316037736
14081,123,At-Risk High Value,2,302,67,4.314285714
16405,121,Lost,2,302,8,4.314285714
17334,122,Lost,2,302,6,4.314285714
13672,121,Lost,2,301,31,4.3
18239,143,At-Risk High Value,5,218,50.8,4.291338583
16356,131,Lost,3,197,46,4.282608696
16897,121,Lost,2,299,14,4.271428571
18260,144,At-Risk High Value,6,172,41,4.195121951
17997,244,At-Risk High Value,8,74,17.8,4.157303371
14364,244,At-Risk High Value,7,108,26,4.153846154
16546,123,At-Risk High Value,2,290,82,4.142857143
15939,244,At-Risk High Value,14,89,22,4.045454545
15456,122,Lost,2,283,76,4.042857143
13497,122,Lost,2,282,86,4.028571429
12755,124,At-Risk High Value,2,280,85,4
13752,243,At-Risk High Value,6,124,31.2,3.974358974
12840,133,At-Risk High Value,4,143,36.2,3.950276243
13493,123,At-Risk High Value,2,275,12,3.928571429
15057,123,At-Risk High Value,2,275,40,3.928571429
13133,121,Lost,2,273,31,3.9
14114,122,Lost,2,273,57,3.9
17194,122,Lost,2,273,87,3.9
12601,143,At-Risk High Value,5,189,49,3.857142857
13261,123,At-Risk High Value,2,268,17,3.828571429
12868,143,At-Risk High Value,6,185,48.4,3.82231405
13707,122,Lost,2,267,48,3.814285714
16716,123,At-Risk High Value,2,266,45,3.8
16943,133,At-Risk High Value,3,211,55.6,3.794964029
14740,133,At-Risk High Value,3,197,52,3.788461538
16402,121,Lost,2,264,105,3.771428571
16427,121,Lost,2,263,21,3.757142857
16250,122,Lost,2,261,112,3.728571429
17507,122,Lost,2,261,48,3.728571429
14256,123,At-Risk High Value,2,260,104,3.714285714
16180,244,At-Risk High Value,7,100,27,3.703703704
13452,123,At-Risk High Value,2,259,11,3.7
16146,133,At-Risk High Value,3,157,42.6,3.685446009
18071,122,Lost,2,257,108,3.671428571
16692,124,At-Risk High Value,2,256,33,3.657142857
15032,123,At-Risk High Value,2,256,110,3.657142857
13368,122,Lost,2,256,81,3.657142857
13649,122,Lost,2,256,110,3.657142857
15589,122,Lost,2,255,55,3.642857143
16980,123,At-Risk High Value,2,255,36,3.642857143
16553,144,At-Risk High Value,6,163,44.8,3.638392857
16928,244,At-Risk High Value,17,80,22,3.636363636
15353,123,At-Risk High Value,2,254,113,3.628571429
15894,121,Lost,2,253,116,3.614285714
14479,122,Lost,2,253,112,3.614285714
13925,232,Lost,3,92,25.8,3.565891473
14220,123,At-Risk High Value,2,247,111,3.528571429
15379,144,At-Risk High Value,7,169,48,3.520833333
14465,123,At-Risk High Value,2,246,56,3.514285714
13718,122,Lost,2,246,49,3.514285714
17035,122,Lost,2,245,66,3.5
15855,243,At-Risk High Value,5,136,39.2,3.469387755
15777,133,At-Risk High Value,3,241,69.6,3.462643678
16552,122,Lost,2,242,131,3.457142857
14669,123,At-Risk High Value,2,241,91,3.442857143
13221,123,At-Risk High Value,2,240,119,3.428571429
16957,122,Lost,2,239,42,3.414285714
15935,122,Lost,2,239,2,3.414285714
15139,121,Lost,2,239,97,3.414285714
17362,122,Lost,2,239,70,3.414285714
15246,122,Lost,2,238,120,3.4
12582,122,Lost,2,238,50,3.4
12878,122,Lost,2,236,30,3.371428571
15749,124,At-Risk High Value,2,235,97,3.357142857
16217,122,Lost,2,235,47,3.357142857
14231,133,At-Risk High Value,3,183,54.6,3.351648352
14242,122,Lost,2,234,91,3.342857143
14672,123,At-Risk High Value,2,234,102,3.342857143
12585,124,At-Risk High Value,2,234,117,3.342857143
17946,121,Lost,2,233,26,3.328571429
16163,123,At-Risk High Value,2,232,133,3.314285714
14770,123,At-Risk High Value,2,232,91,3.314285714
15108,233,At-Risk High Value,4,141,43,3.279069767
15581,244,At-Risk High Value,12,120,37,3.243243243
18183,122,Lost,2,227,47,3.242857143
17277,123,At-Risk High Value,2,227,95,3.242857143
15704,234,At-Risk High Value,3,140,43.2,3.240740741
12383,143,At-Risk High Value,5,184,56.8,3.23943662
16698,124,At-Risk High Value,2,226,27,3.228571429
15223,123,At-Risk High Value,2,225,24,3.214285714
17837,344,Loyalist,8,42,13.2,3.181818182
12414,133,At-Risk High Value,3,217,68.4,3.17251462
16634,121,Lost,2,222,150,3.171428571
13900,133,At-Risk High Value,3,183,57.8,3.166089965
13731,122,Lost,2,219,27,3.128571429
14245,123,At-Risk High Value,2,219,44,3.128571429
16714,123,At-Risk High Value,2,218,99,3.114285714
16109,123,At-Risk High Value,2,218,90,3.114285714
17374,121,Lost,2,218,63,3.114285714
17765,132,Lost,3,158,50.8,3.11023622
17604,122,Lost,2,217,95,3.1
18078,122,Lost,2,217,42,3.1
13952,124,At-Risk High Value,2,217,21,3.1
