CustomerID,Max_InvoiceDate,CountDistinct(InvoiceDate),AVG(Revenue),Recency,Frequency,Monetary,RFM_Score
,40886.43,276,17.11,5,5,3,553
12346,40561.43,2,0.00,1,2,1,121
12347,40884.66,7,23.68,5,4,4,544
12348,40811.55,4,57.98,2,3,5,235
12349,40868.41,1,24.08,4,0,4,404
12350,40576.67,1,19.67,1,0,4,104
12352,40850.61,11,16.60,3,5,3,353
12353,40682.74,1,22.25,1,0,4,104
12354,40654.55,1,18.61,1,0,3,103
12355,40672.58,1,35.34,1,0,5,105
12356,40864.36,3,47.65,4,3,5,435
12357,40853.67,1,46.75,3,0,5,305
12358,40885.43,2,61.48,5,2,5,525
12359,40879.47,6,24.59,5,4,4,544
12360,40834.64,3,20.64,3,3,4,334
12361,40599.58,1,18.99,1,0,4,104
12362,40883.65,13,19.08,5,5,4,554
12363,40777.43,2,24.00,2,2,4,224
12364,40879.43,4,15.45,5,3,2,532
12365,40595.59,3,13.94,1,3,2,132
12367,40882.70,1,15.35,5,0,2,502
12370,40835.62,4,21.34,3,3,4,334
12371,40842.43,2,29.97,3,2,5,325
12372,40815.51,3,24.96,2,3,4,234
12373,40575.55,1,26.04,1,0,4,104
12374,40861.65,1,22.51,4,0,4,404
12375,40884.48,3,25.30,5,3,4,534
12377,40571.66,2,21.14,1,2,4,124
12378,40757.44,1,18.30,2,0,3,203
12379,40805.42,3,20.74,2,3,4,234
12380,40865.48,5,25.91,4,4,4,444
12381,40882.53,6,20.21,5,4,4,544
12383,40702.33,6,18.39,1,4,3,143
12384,40858.36,3,18.87,4,3,4,434
12386,40549.53,2,40.19,1,2,5,125
12388,40871.52,6,27.81,4,4,5,445
12390,40807.40,1,17.18,2,0,3,203
12391,40865.50,1,4.73,4,0,1,401
12393,40814.65,4,24.73,2,3,4,234
12394,40823.34,2,47.13,3,2,5,325
12395,40871.51,15,18.86,4,5,3,453
12397,40851.41,2,19.13,3,2,4,324
12398,40841.44,1,19.24,3,0,4,304
12399,40767.55,4,18.79,2,3,3,233
12401,40583.58,1,16.86,1,0,3,103
12402,40563.58,1,20.51,1,0,4,104
12403,40837.46,2,85.54,3,2,5,325
12405,40738.37,1,31.67,2,0,5,205
12406,40864.81,3,30.38,4,3,5,435
12407,40837.42,5,22.18,3,4,4,344
12408,40854.52,9,25.51,3,5,4,354
12409,40808.44,7,96.99,2,4,5,245
12410,40585.66,3,24.32,1,3,4,134
12412,40812.43,3,20.11,2,3,4,234
12413,40820.38,5,19.18,3,4,4,344
12414,40669.62,3,31.25,1,3,5,135
12415,40862.60,25,160.21,4,5,5,455
12417,40883.62,12,18.07,5,5,3,553
12418,40774.46,1,19.66,2,0,4,204
12420,40823.37,1,20.70,3,0,4,304
12421,40871.38,5,17.53,4,4,3,443
12422,40791.41,3,20.60,2,3,4,234
12423,40886.42,9,14.68,5,5,2,552
12424,40724.50,1,58.70,2,0,5,205
12425,40808.73,1,21.59,2,0,4,204
12426,40692.52,1,19.42,1,0,4,104
12427,40875.45,5,21.83,4,4,4,444
12428,40861.35,12,26.48,4,5,4,454
12429,40877.72,4,38.51,5,3,5,535
12430,40843.63,1,23.31,3,0,4,304
12431,40851.50,18,26.56,3,5,4,354
12432,40844.49,5,46.85,3,4,5,345
12433,40886.42,7,32.01,5,4,5,545
12434,40802.53,4,14.17,2,3,2,232
12435,40807.38,2,217.50,2,2,5,225
12436,40787.51,1,31.81,2,0,5,205
12437,40885.48,19,24.36,5,5,4,554
12438,40872.56,2,29.66,4,2,5,425
12441,40520.45,1,15.78,1,0,3,103
12442,40883.60,1,14.34,5,0,2,502
12444,40865.56,5,28.28,4,4,5,445
12445,40864.78,1,33.35,4,0,5,405
12446,40829.53,1,17.28,3,0,3,303
12447,40643.56,1,18.33,1,0,3,103
12448,40842.57,1,20.43,3,0,4,304
12449,40864.57,4,21.29,4,3,4,434
12450,40730.61,2,24.74,2,2,4,224
12451,40876.36,6,25.52,5,4,4,544
12452,40870.44,3,19.57,4,3,4,434
12453,40752.59,1,16.44,2,0,3,203
12454,40833.63,2,52.88,3,2,5,325
12455,40813.65,6,27.41,2,4,5,245
12456,40842.61,4,24.45,3,3,4,334
12457,40828.57,11,31.30,3,5,5,355
12458,40815.64,2,24.93,2,2,4,224
12461,40792.71,2,23.63,2,2,4,224
12462,40884.58,4,15.61,5,3,3,533
12463,40840.57,7,15.05,3,4,2,342
